"neighborhood","crimetype","occurrence","family.with.kids.severity.","Student.severity.","elderly.severity."
"BALLARD SOUTH","ARSON",23,8,8,10
"BALLARD SOUTH","BURGLARY-COMMERCIAL",985,1,1,3
"BALLARD SOUTH","BURGLARY-COMMERCIAL-SECURE PARKING",31,1,1,3
"BALLARD SOUTH","BURGLARY-RESIDENTIAL",984,8,7,4
"BALLARD SOUTH","BURGLARY-RESIDENTIAL-SECURE PARKING",447,8,7,4
"BALLARD SOUTH","CAR PROWL",4299,5,5,5
"BALLARD SOUTH","DISORDERLY CONDUCT",5,3,4,4
"BALLARD SOUTH","DUI",656,6,7,5
"BALLARD SOUTH","FAMILY OFFENSE-NONVIOLENT",89,3,4,4
"BALLARD SOUTH","HOMICIDE",7,10,10,10
"BALLARD SOUTH","LIQUOR LAW VIOLATION",34,1,2,2
"BALLARD SOUTH","LOITERING",1,0,0,0
"BALLARD SOUTH","MOTOR VEHICLE THEFT",1547,1,2,2
"BALLARD SOUTH","NARCOTIC",201,10,9,8
"BALLARD SOUTH","PORNOGRAPHY",1,0,0,0
"BALLARD SOUTH","RAPE",34,9,8,9
"BALLARD SOUTH","ROBBERY-COMMERCIAL",180,5,5,5
"BALLARD SOUTH","ROBBERY-RESIDENTIAL",16,8,7,9
"BALLARD SOUTH","ROBBERY-STREET",135,7,7,9
"BALLARD SOUTH","SEX OFFENSE-OTHER",118,8,6,6
"BALLARD SOUTH","THEFT-ALL OTHER",1697,3,2,3
"BALLARD SOUTH","THEFT-BICYCLE",600,2,4,2
"BALLARD SOUTH","THEFT-BUILDING",621,5,4,5
"BALLARD SOUTH","THEFT-SHOPLIFT",1699,1,2,1
"BALLARD SOUTH","TRESPASS",559,4,2,5
"BALLARD SOUTH","WEAPON",76,9,8,9
"BELLTOWN","",10,NA,NA,NA
"BELLTOWN","AGGRAVATED ASSAULT",628,7,7,8
"BELLTOWN","AGGRAVATED ASSAULT-DV",122,5,5,6
"BELLTOWN","ARSON",14,8,8,10
"BELLTOWN","BURGLARY-COMMERCIAL",570,1,1,3
"BELLTOWN","BURGLARY-COMMERCIAL-SECURE PARKING",54,1,1,3
"BELLTOWN","BURGLARY-RESIDENTIAL",351,8,7,4
"BELLTOWN","BURGLARY-RESIDENTIAL-SECURE PARKING",359,8,7,4
"BELLTOWN","CAR PROWL",6500,5,5,5
"BELLTOWN","DISORDERLY CONDUCT",12,3,4,4
"BELLTOWN","DUI",400,6,7,5
"BELLTOWN","FAMILY OFFENSE-NONVIOLENT",51,3,4,4
"BELLTOWN","HOMICIDE",10,10,10,10
"BELLTOWN","LIQUOR LAW VIOLATION",54,1,2,2
"BELLTOWN","LOITERING",1,0,0,0
"BELLTOWN","MOTOR VEHICLE THEFT",510,1,2,2
"BELLTOWN","NARCOTIC",1258,10,9,8
"BELLTOWN","PROSTITUTION",86,8,7,7
"BELLTOWN","RAPE",59,9,8,9
"BELLTOWN","ROBBERY-COMMERCIAL",78,5,5,5
"BELLTOWN","ROBBERY-RESIDENTIAL",17,8,7,9
"BELLTOWN","ROBBERY-STREET",400,7,7,9
"BELLTOWN","SEX OFFENSE-OTHER",131,8,6,6
"BELLTOWN","THEFT-ALL OTHER",1570,3,2,3
"BELLTOWN","THEFT-BICYCLE",221,2,4,2
"BELLTOWN","THEFT-BUILDING",856,5,4,5
"BELLTOWN","THEFT-SHOPLIFT",466,1,2,1
"BELLTOWN","TRESPASS",406,4,2,5
"BELLTOWN","WEAPON",176,9,8,9
"BITTERLAKE","",7,NA,NA,NA
"BITTERLAKE","AGGRAVATED ASSAULT",259,7,7,8
"BITTERLAKE","AGGRAVATED ASSAULT-DV",195,5,5,6
"BITTERLAKE","ARSON",19,8,8,10
"BITTERLAKE","BURGLARY-COMMERCIAL",440,1,1,3
"BITTERLAKE","BURGLARY-COMMERCIAL-SECURE PARKING",26,1,1,3
"BITTERLAKE","BURGLARY-RESIDENTIAL",1388,8,7,4
"BITTERLAKE","BURGLARY-RESIDENTIAL-SECURE PARKING",254,8,7,4
"BITTERLAKE","CAR PROWL",2756,5,5,5
"BITTERLAKE","DISORDERLY CONDUCT",2,3,4,4
"BITTERLAKE","DUI",228,6,7,5
"BITTERLAKE","FAMILY OFFENSE-NONVIOLENT",167,3,4,4
"BITTERLAKE","HOMICIDE",4,10,10,10
"BITTERLAKE","LIQUOR LAW VIOLATION",15,1,2,2
"BITTERLAKE","LOITERING",1,0,0,0
"BITTERLAKE","MOTOR VEHICLE THEFT",995,1,2,2
"BITTERLAKE","NARCOTIC",194,10,9,8
"BITTERLAKE","PORNOGRAPHY",4,0,0,0
"BITTERLAKE","PROSTITUTION",123,8,7,7
"BITTERLAKE","RAPE",51,9,8,9
"BITTERLAKE","ROBBERY-COMMERCIAL",85,5,5,5
"BITTERLAKE","ROBBERY-RESIDENTIAL",46,8,7,9
"BITTERLAKE","ROBBERY-STREET",139,7,7,9
"BITTERLAKE","SEX OFFENSE-OTHER",139,8,6,6
"BITTERLAKE","THEFT-ALL OTHER",1224,3,2,3
"BITTERLAKE","THEFT-BICYCLE",133,2,4,2
