"neighborhood","crimetype","occurrence","family.with.kids.severity.","Student.severity.","elderly.severity."
"DOWNTOWN COMMERCIAL","DISORDERLY CONDUCT",80,3,4,4
"DOWNTOWN COMMERCIAL","DUI",601,6,7,5
"DOWNTOWN COMMERCIAL","FAMILY OFFENSE-NONVIOLENT",371,3,4,4
"DOWNTOWN COMMERCIAL","GAMBLE",3,3,3,3
"DOWNTOWN COMMERCIAL","HOMICIDE",16,10,10,10
"DOWNTOWN COMMERCIAL","LIQUOR LAW VIOLATION",198,1,2,2
"DOWNTOWN COMMERCIAL","LOITERING",7,0,0,0
"DOWNTOWN COMMERCIAL","MOTOR VEHICLE THEFT",866,1,2,2
"DOWNTOWN COMMERCIAL","NARCOTIC",4334,10,9,8
"DOWNTOWN COMMERCIAL","PORNOGRAPHY",57,0,0,0
"DOWNTOWN COMMERCIAL","PROSTITUTION",124,8,7,7
"DOWNTOWN COMMERCIAL","RAPE",139,9,8,9
"DOWNTOWN COMMERCIAL","ROBBERY-COMMERCIAL",681,5,5,5
"DOWNTOWN COMMERCIAL","ROBBERY-RESIDENTIAL",43,8,7,9
"DOWNTOWN COMMERCIAL","ROBBERY-STREET",1589,7,7,9
"DOWNTOWN COMMERCIAL","SEX OFFENSE-OTHER",601,8,6,6
"DOWNTOWN COMMERCIAL","THEFT-ALL OTHER",5056,3,2,3
"DOWNTOWN COMMERCIAL","THEFT-BICYCLE",793,2,4,2
"DOWNTOWN COMMERCIAL","THEFT-BUILDING",2831,5,4,5
"DOWNTOWN COMMERCIAL","THEFT-SHOPLIFT",11160,1,2,1
"DOWNTOWN COMMERCIAL","TRESPASS",2210,4,2,5
"DOWNTOWN COMMERCIAL","WEAPON",610,9,8,9
"EASTLAKE - EAST","AGGRAVATED ASSAULT",11,7,7,8
"EASTLAKE - EAST","AGGRAVATED ASSAULT-DV",8,5,5,6
"EASTLAKE - EAST","ARSON",1,8,8,10
"EASTLAKE - EAST","BURGLARY-COMMERCIAL",24,1,1,3
"EASTLAKE - EAST","BURGLARY-COMMERCIAL-SECURE PARKING",1,1,1,3
"EASTLAKE - EAST","BURGLARY-RESIDENTIAL",89,8,7,4
"EASTLAKE - EAST","BURGLARY-RESIDENTIAL-SECURE PARKING",43,8,7,4
"EASTLAKE - EAST","CAR PROWL",351,5,5,5
"EASTLAKE - EAST","DUI",17,6,7,5
"EASTLAKE - EAST","FAMILY OFFENSE-NONVIOLENT",1,3,4,4
"EASTLAKE - EAST","MOTOR VEHICLE THEFT",136,1,2,2
"EASTLAKE - EAST","NARCOTIC",10,10,9,8
"EASTLAKE - EAST","RAPE",3,9,8,9
"EASTLAKE - EAST","ROBBERY-COMMERCIAL",3,5,5,5
"EASTLAKE - EAST","ROBBERY-STREET",6,7,7,9
"EASTLAKE - EAST","SEX OFFENSE-OTHER",3,8,6,6
"EASTLAKE - EAST","THEFT-ALL OTHER",72,3,2,3
"EASTLAKE - EAST","THEFT-BICYCLE",34,2,4,2
"EASTLAKE - EAST","THEFT-BUILDING",15,5,4,5
"EASTLAKE - EAST","TRESPASS",29,4,2,5
"EASTLAKE - EAST","WEAPON",3,9,8,9
"EASTLAKE - WEST","",3,NA,NA,NA
"EASTLAKE - WEST","AGGRAVATED ASSAULT",48,7,7,8
"EASTLAKE - WEST","AGGRAVATED ASSAULT-DV",24,5,5,6
"EASTLAKE - WEST","ARSON",4,8,8,10
"EASTLAKE - WEST","BURGLARY-COMMERCIAL",244,1,1,3
"EASTLAKE - WEST","BURGLARY-COMMERCIAL-SECURE PARKING",21,1,1,3
"EASTLAKE - WEST","BURGLARY-RESIDENTIAL",319,8,7,4
"EASTLAKE - WEST","BURGLARY-RESIDENTIAL-SECURE PARKING",219,8,7,4
"EASTLAKE - WEST","CAR PROWL",1382,5,5,5
"EASTLAKE - WEST","DUI",44,6,7,5
"EASTLAKE - WEST","FAMILY OFFENSE-NONVIOLENT",13,3,4,4
"EASTLAKE - WEST","HOMICIDE",1,10,10,10
"EASTLAKE - WEST","LIQUOR LAW VIOLATION",1,1,2,2
"EASTLAKE - WEST","MOTOR VEHICLE THEFT",535,1,2,2
"EASTLAKE - WEST","NARCOTIC",18,10,9,8
"EASTLAKE - WEST","PORNOGRAPHY",3,0,0,0
"EASTLAKE - WEST","PROSTITUTION",2,8,7,7
"EASTLAKE - WEST","RAPE",6,9,8,9
"EASTLAKE - WEST","ROBBERY-COMMERCIAL",10,5,5,5
"EASTLAKE - WEST","ROBBERY-RESIDENTIAL",7,8,7,9
"EASTLAKE - WEST","ROBBERY-STREET",14,7,7,9
"EASTLAKE - WEST","SEX OFFENSE-OTHER",23,8,6,6
"EASTLAKE - WEST","THEFT-ALL OTHER",227,3,2,3
"EASTLAKE - WEST","THEFT-BICYCLE",150,2,4,2
"EASTLAKE - WEST","THEFT-BUILDING",83,5,4,5
"EASTLAKE - WEST","THEFT-SHOPLIFT",14,1,2,1
"EASTLAKE - WEST","TRESPASS",43,4,2,5
"EASTLAKE - WEST","WEAPON",7,9,8,9
"FAUNTLEROY SW","",1,NA,NA,NA
"FAUNTLEROY SW","AGGRAVATED ASSAULT",31,7,7,8
"FAUNTLEROY SW","AGGRAVATED ASSAULT-DV",31,5,5,6
"FAUNTLEROY SW","ARSON",5,8,8,10
"FAUNTLEROY SW","BURGLARY-COMMERCIAL",61,1,1,3
"FAUNTLEROY SW","BURGLARY-RESIDENTIAL",402,8,7,4
"FAUNTLEROY SW","BURGLARY-RESIDENTIAL-SECURE PARKING",2,8,7,4
"FAUNTLEROY SW","CAR PROWL",1042,5,5,5
"FAUNTLEROY SW","DUI",53,6,7,5
"FAUNTLEROY SW","FAMILY OFFENSE-NONVIOLENT",17,3,4,4
"FAUNTLEROY SW","HOMICIDE",1,10,10,10
"FAUNTLEROY SW","LIQUOR LAW VIOLATION",10,1,2,2
"FAUNTLEROY SW","MOTOR VEHICLE THEFT",246,1,2,2
"FAUNTLEROY SW","NARCOTIC",25,10,9,8
"FAUNTLEROY SW","PORNOGRAPHY",3,0,0,0
"FAUNTLEROY SW","RAPE",5,9,8,9
"FAUNTLEROY SW","ROBBERY-COMMERCIAL",4,5,5,5
"FAUNTLEROY SW","ROBBERY-RESIDENTIAL",7,8,7,9
"FAUNTLEROY SW","ROBBERY-STREET",17,7,7,9
"FAUNTLEROY SW","SEX OFFENSE-OTHER",24,8,6,6
"FAUNTLEROY SW","THEFT-ALL OTHER",274,3,2,3
"FAUNTLEROY SW","THEFT-BICYCLE",21,2,4,2
"FAUNTLEROY SW","THEFT-BUILDING",37,5,4,5
"FAUNTLEROY SW","THEFT-SHOPLIFT",15,1,2,1
"FAUNTLEROY SW","TRESPASS",26,4,2,5
"FAUNTLEROY SW","WEAPON",15,9,8,9
"FIRST HILL","",14,NA,NA,NA
"FIRST HILL","AGGRAVATED ASSAULT",611,7,7,8
"FIRST HILL","AGGRAVATED ASSAULT-DV",234,5,5,6
"FIRST HILL","ARSON",27,8,8,10
"FIRST HILL","BURGLARY-COMMERCIAL",488,1,1,3
"FIRST HILL","BURGLARY-COMMERCIAL-SECURE PARKING",76,1,1,3
"FIRST HILL","BURGLARY-RESIDENTIAL",779,8,7,4
"FIRST HILL","BURGLARY-RESIDENTIAL-SECURE PARKING",459,8,7,4
"FIRST HILL","CAR PROWL",3876,5,5,5
"FIRST HILL","DISORDERLY CONDUCT",2,3,4,4
"FIRST HILL","DUI",332,6,7,5
"FIRST HILL","FAMILY OFFENSE-NONVIOLENT",420,3,4,4
"FIRST HILL","HOMICIDE",8,10,10,10
"FIRST HILL","LIQUOR LAW VIOLATION",45,1,2,2
"FIRST HILL","LOITERING",1,0,0,0
"FIRST HILL","MOTOR VEHICLE THEFT",827,1,2,2
"FIRST HILL","NARCOTIC",523,10,9,8
"FIRST HILL","PORNOGRAPHY",3,0,0,0
"FIRST HILL","PROSTITUTION",10,8,7,7
"FIRST HILL","RAPE",120,9,8,9
"FIRST HILL","ROBBERY-COMMERCIAL",65,5,5,5
"FIRST HILL","ROBBERY-RESIDENTIAL",44,8,7,9
"FIRST HILL","ROBBERY-STREET",351,7,7,9
"FIRST HILL","SEX OFFENSE-OTHER",296,8,6,6
"FIRST HILL","THEFT-ALL OTHER",1459,3,2,3
"FIRST HILL","THEFT-BICYCLE",428,2,4,2
"FIRST HILL","THEFT-BUILDING",1051,5,4,5
"FIRST HILL","THEFT-SHOPLIFT",433,1,2,1
"FIRST HILL","TRESPASS",865,4,2,5
"FIRST HILL","WEAPON",144,9,8,9
"FREMONT","",5,NA,NA,NA
"FREMONT","AGGRAVATED ASSAULT",207,7,7,8
"FREMONT","AGGRAVATED ASSAULT-DV",93,5,5,6
"FREMONT","ARSON",17,8,8,10
"FREMONT","BURGLARY-COMMERCIAL",755,1,1,3
"FREMONT","BURGLARY-COMMERCIAL-SECURE PARKING",36,1,1,3
"FREMONT","BURGLARY-RESIDENTIAL",921,8,7,4
"FREMONT","BURGLARY-RESIDENTIAL-SECURE PARKING",336,8,7,4
"FREMONT","CAR PROWL",3296,5,5,5
"FREMONT","DISORDERLY CONDUCT",6,3,4,4
"FREMONT","DUI",392,6,7,5
"FREMONT","FAMILY OFFENSE-NONVIOLENT",66,3,4,4
"FREMONT","HOMICIDE",2,10,10,10
"FREMONT","LIQUOR LAW VIOLATION",14,1,2,2
"FREMONT","LOITERING",1,0,0,0
"FREMONT","MOTOR VEHICLE THEFT",1219,1,2,2
"FREMONT","NARCOTIC",157,10,9,8
"FREMONT","PROSTITUTION",23,8,7,7
"FREMONT","RAPE",27,9,8,9
"FREMONT","ROBBERY-COMMERCIAL",44,5,5,5
"FREMONT","ROBBERY-RESIDENTIAL",20,8,7,9
"FREMONT","ROBBERY-STREET",79,7,7,9
"FREMONT","SEX OFFENSE-OTHER",70,8,6,6
"FREMONT","THEFT-ALL OTHER",1089,3,2,3
"FREMONT","THEFT-BICYCLE",425,2,4,2
"FREMONT","THEFT-BUILDING",299,5,4,5
"FREMONT","THEFT-SHOPLIFT",333,1,2,1
"FREMONT","TRESPASS",251,4,2,5
"FREMONT","WEAPON",59,9,8,9
"GENESEE","",1,NA,NA,NA
"GENESEE","AGGRAVATED ASSAULT",62,7,7,8
"GENESEE","AGGRAVATED ASSAULT-DV",33,5,5,6
"GENESEE","ARSON",5,8,8,10
"GENESEE","BURGLARY-COMMERCIAL",42,1,1,3
"GENESEE","BURGLARY-COMMERCIAL-SECURE PARKING",2,1,1,3
"GENESEE","BURGLARY-RESIDENTIAL",190,8,7,4
"GENESEE","BURGLARY-RESIDENTIAL-SECURE PARKING",2,8,7,4
"GENESEE","CAR PROWL",458,5,5,5
"GENESEE","DUI",35,6,7,5
"GENESEE","FAMILY OFFENSE-NONVIOLENT",32,3,4,4
"GENESEE","HOMICIDE",2,10,10,10
"GENESEE","LIQUOR LAW VIOLATION",2,1,2,2
"GENESEE","MOTOR VEHICLE THEFT",124,1,2,2
"GENESEE","NARCOTIC",36,10,9,8
"GENESEE","PROSTITUTION",10,8,7,7
"GENESEE","RAPE",1,9,8,9
"GENESEE","ROBBERY-COMMERCIAL",13,5,5,5
"GENESEE","ROBBERY-RESIDENTIAL",2,8,7,9
"GENESEE","ROBBERY-STREET",60,7,7,9
"GENESEE","SEX OFFENSE-OTHER",14,8,6,6
"GENESEE","THEFT-ALL OTHER",171,3,2,3
"GENESEE","THEFT-BICYCLE",9,2,4,2
"GENESEE","THEFT-BUILDING",57,5,4,5
"GENESEE","THEFT-SHOPLIFT",129,1,2,1
"GENESEE","TRESPASS",35,4,2,5
"GENESEE","WEAPON",25,9,8,9
"GEORGETOWN","",2,NA,NA,NA
"GEORGETOWN","AGGRAVATED ASSAULT",211,7,7,8
"GEORGETOWN","AGGRAVATED ASSAULT-DV",95,5,5,6
"GEORGETOWN","ARSON",23,8,8,10
"GEORGETOWN","BURGLARY-COMMERCIAL",864,1,1,3
"GEORGETOWN","BURGLARY-COMMERCIAL-SECURE PARKING",10,1,1,3
"GEORGETOWN","BURGLARY-RESIDENTIAL",192,8,7,4
"GEORGETOWN","CAR PROWL",1365,5,5,5
"GEORGETOWN","DISORDERLY CONDUCT",1,3,4,4
"GEORGETOWN","DUI",322,6,7,5
"GEORGETOWN","FAMILY OFFENSE-NONVIOLENT",48,3,4,4
"GEORGETOWN","HOMICIDE",5,10,10,10
"GEORGETOWN","LIQUOR LAW VIOLATION",12,1,2,2
"GEORGETOWN","LOITERING",1,0,0,0
"GEORGETOWN","MOTOR VEHICLE THEFT",647,1,2,2
"GEORGETOWN","NARCOTIC",214,10,9,8
"GEORGETOWN","PROSTITUTION",75,8,7,7
"GEORGETOWN","RAPE",23,9,8,9
"GEORGETOWN","ROBBERY-COMMERCIAL",52,5,5,5
"GEORGETOWN","ROBBERY-RESIDENTIAL",18,8,7,9
"GEORGETOWN","ROBBERY-STREET",94,7,7,9
"GEORGETOWN","SEX OFFENSE-OTHER",60,8,6,6
"GEORGETOWN","THEFT-ALL OTHER",825,3,2,3
"GEORGETOWN","THEFT-BICYCLE",60,2,4,2
"GEORGETOWN","THEFT-BUILDING",226,5,4,5
"GEORGETOWN","THEFT-SHOPLIFT",313,1,2,1
"GEORGETOWN","TRESPASS",182,4,2,5
"GEORGETOWN","WEAPON",63,9,8,9
"GREENWOOD","",6,NA,NA,NA
"GREENWOOD","AGGRAVATED ASSAULT",298,7,7,8
"GREENWOOD","AGGRAVATED ASSAULT-DV",181,5,5,6
"GREENWOOD","ARSON",39,8,8,10
"GREENWOOD","BURGLARY-COMMERCIAL",584,1,1,3
"GREENWOOD","BURGLARY-COMMERCIAL-SECURE PARKING",18,1,1,3
"GREENWOOD","BURGLARY-RESIDENTIAL",1087,8,7,4
"GREENWOOD","BURGLARY-RESIDENTIAL-SECURE PARKING",222,8,7,4
"GREENWOOD","CAR PROWL",3055,5,5,5
"GREENWOOD","DISORDERLY CONDUCT",1,3,4,4
"GREENWOOD","DUI",331,6,7,5
"GREENWOOD","FAMILY OFFENSE-NONVIOLENT",158,3,4,4
"GREENWOOD","HOMICIDE",4,10,10,10
"GREENWOOD","LIQUOR LAW VIOLATION",28,1,2,2
"GREENWOOD","MOTOR VEHICLE THEFT",1265,1,2,2
"GREENWOOD","NARCOTIC",250,10,9,8
"GREENWOOD","PORNOGRAPHY",4,0,0,0
"GREENWOOD","PROSTITUTION",70,8,7,7
"GREENWOOD","RAPE",57,9,8,9
"GREENWOOD","ROBBERY-COMMERCIAL",115,5,5,5
"GREENWOOD","ROBBERY-RESIDENTIAL",27,8,7,9
"GREENWOOD","ROBBERY-STREET",171,7,7,9
"GREENWOOD","SEX OFFENSE-OTHER",107,8,6,6
"GREENWOOD","THEFT-ALL OTHER",1298,3,2,3
"GREENWOOD","THEFT-BICYCLE",283,2,4,2
"GREENWOOD","THEFT-BUILDING",323,5,4,5
"GREENWOOD","THEFT-SHOPLIFT",910,1,2,1
"GREENWOOD","TRESPASS",428,4,2,5
"GREENWOOD","WEAPON",85,9,8,9
"HIGH POINT","",1,NA,NA,NA
"HIGH POINT","AGGRAVATED ASSAULT",160,7,7,8
"HIGH POINT","AGGRAVATED ASSAULT-DV",144,5,5,6
"HIGH POINT","ARSON",14,8,8,10
"HIGH POINT","BURGLARY-COMMERCIAL",79,1,1,3
"HIGH POINT","BURGLARY-COMMERCIAL-SECURE PARKING",3,1,1,3
"HIGH POINT","BURGLARY-RESIDENTIAL",438,8,7,4
"HIGH POINT","BURGLARY-RESIDENTIAL-SECURE PARKING",7,8,7,4
"HIGH POINT","CAR PROWL",620,5,5,5
"HIGH POINT","DUI",76,6,7,5
"HIGH POINT","FAMILY OFFENSE-NONVIOLENT",167,3,4,4
"HIGH POINT","HOMICIDE",2,10,10,10
"HIGH POINT","LIQUOR LAW VIOLATION",6,1,2,2
"HIGH POINT","MOTOR VEHICLE THEFT",434,1,2,2
"HIGH POINT","NARCOTIC",44,10,9,8
"HIGH POINT","PORNOGRAPHY",2,0,0,0
"HIGH POINT","PROSTITUTION",2,8,7,7
"HIGH POINT","RAPE",23,9,8,9
"HIGH POINT","ROBBERY-COMMERCIAL",34,5,5,5
"HIGH POINT","ROBBERY-RESIDENTIAL",18,8,7,9
"HIGH POINT","ROBBERY-STREET",73,7,7,9
"HIGH POINT","SEX OFFENSE-OTHER",77,8,6,6
"HIGH POINT","THEFT-ALL OTHER",469,3,2,3
"HIGH POINT","THEFT-BICYCLE",49,2,4,2
"HIGH POINT","THEFT-BUILDING",122,5,4,5
"HIGH POINT","THEFT-SHOPLIFT",244,1,2,1
"HIGH POINT","TRESPASS",90,4,2,5
"HIGH POINT","WEAPON",47,9,8,9
"HIGHLAND PARK","",2,NA,NA,NA
"HIGHLAND PARK","AGGRAVATED ASSAULT",131,7,7,8
"HIGHLAND PARK","AGGRAVATED ASSAULT-DV",181,5,5,6
"HIGHLAND PARK","ARSON",16,8,8,10
"HIGHLAND PARK","BURGLARY-COMMERCIAL",145,1,1,3
"HIGHLAND PARK","BURGLARY-COMMERCIAL-SECURE PARKING",2,1,1,3
"HIGHLAND PARK","BURGLARY-RESIDENTIAL",993,8,7,4
"HIGHLAND PARK","BURGLARY-RESIDENTIAL-SECURE PARKING",12,8,7,4
"HIGHLAND PARK","CAR PROWL",1509,5,5,5
"HIGHLAND PARK","DISORDERLY CONDUCT",1,3,4,4
"HIGHLAND PARK","DUI",169,6,7,5
"HIGHLAND PARK","FAMILY OFFENSE-NONVIOLENT",129,3,4,4
"HIGHLAND PARK","HOMICIDE",5,10,10,10
"HIGHLAND PARK","LIQUOR LAW VIOLATION",5,1,2,2
"HIGHLAND PARK","MOTOR VEHICLE THEFT",893,1,2,2
"HIGHLAND PARK","NARCOTIC",79,10,9,8
"HIGHLAND PARK","PORNOGRAPHY",1,0,0,0
"HIGHLAND PARK","PROSTITUTION",7,8,7,7
"HIGHLAND PARK","RAPE",20,9,8,9
"HIGHLAND PARK","ROBBERY-COMMERCIAL",24,5,5,5
"HIGHLAND PARK","ROBBERY-RESIDENTIAL",28,8,7,9
"HIGHLAND PARK","ROBBERY-STREET",98,7,7,9
"HIGHLAND PARK","SEX OFFENSE-OTHER",80,8,6,6
"HIGHLAND PARK","THEFT-ALL OTHER",700,3,2,3
"HIGHLAND PARK","THEFT-BICYCLE",58,2,4,2
"HIGHLAND PARK","THEFT-BUILDING",110,5,4,5
"HIGHLAND PARK","THEFT-SHOPLIFT",75,1,2,1
"HIGHLAND PARK","TRESPASS",98,4,2,5
"HIGHLAND PARK","WEAPON",62,9,8,9
"HILLMAN CITY","",1,NA,NA,NA
"HILLMAN CITY","AGGRAVATED ASSAULT",104,7,7,8
"HILLMAN CITY","AGGRAVATED ASSAULT-DV",75,5,5,6
"HILLMAN CITY","ARSON",4,8,8,10
"HILLMAN CITY","BURGLARY-COMMERCIAL",105,1,1,3
"HILLMAN CITY","BURGLARY-RESIDENTIAL",475,8,7,4
"HILLMAN CITY","CAR PROWL",489,5,5,5
"HILLMAN CITY","DISORDERLY CONDUCT",3,3,4,4
"HILLMAN CITY","DUI",50,6,7,5
"HILLMAN CITY","FAMILY OFFENSE-NONVIOLENT",71,3,4,4
"HILLMAN CITY","GAMBLE",1,3,3,3
"HILLMAN CITY","HOMICIDE",3,10,10,10
"HILLMAN CITY","LIQUOR LAW VIOLATION",10,1,2,2
"HILLMAN CITY","MOTOR VEHICLE THEFT",327,1,2,2
"HILLMAN CITY","NARCOTIC",53,10,9,8
"HILLMAN CITY","PROSTITUTION",7,8,7,7
"HILLMAN CITY","RAPE",12,9,8,9
"HILLMAN CITY","ROBBERY-COMMERCIAL",49,5,5,5
"HILLMAN CITY","ROBBERY-RESIDENTIAL",15,8,7,9
"HILLMAN CITY","ROBBERY-STREET",120,7,7,9
"HILLMAN CITY","SEX OFFENSE-OTHER",37,8,6,6
"HILLMAN CITY","THEFT-ALL OTHER",231,3,2,3
"HILLMAN CITY","THEFT-BICYCLE",24,2,4,2
"HILLMAN CITY","THEFT-BUILDING",79,5,4,5
"HILLMAN CITY","THEFT-SHOPLIFT",176,1,2,1
"HILLMAN CITY","TRESPASS",66,4,2,5
"HILLMAN CITY","WEAPON",45,9,8,9
"JUDKINS PARK/NORTH BEACON HILL","",2,NA,NA,NA
"JUDKINS PARK/NORTH BEACON HILL","AGGRAVATED ASSAULT",186,7,7,8
"JUDKINS PARK/NORTH BEACON HILL","AGGRAVATED ASSAULT-DV",57,5,5,6
"JUDKINS PARK/NORTH BEACON HILL","ARSON",14,8,8,10
"JUDKINS PARK/NORTH BEACON HILL","BURGLARY-COMMERCIAL",258,1,1,3
"JUDKINS PARK/NORTH BEACON HILL","BURGLARY-COMMERCIAL-SECURE PARKING",8,1,1,3
"JUDKINS PARK/NORTH BEACON HILL","BURGLARY-RESIDENTIAL",298,8,7,4
"JUDKINS PARK/NORTH BEACON HILL","BURGLARY-RESIDENTIAL-SECURE PARKING",105,8,7,4
"JUDKINS PARK/NORTH BEACON HILL","CAR PROWL",1165,5,5,5
"JUDKINS PARK/NORTH BEACON HILL","DISORDERLY CONDUCT",2,3,4,4
"JUDKINS PARK/NORTH BEACON HILL","DUI",108,6,7,5
"JUDKINS PARK/NORTH BEACON HILL","FAMILY OFFENSE-NONVIOLENT",72,3,4,4
"JUDKINS PARK/NORTH BEACON HILL","GAMBLE",1,3,3,3
"JUDKINS PARK/NORTH BEACON HILL","HOMICIDE",4,10,10,10
"JUDKINS PARK/NORTH BEACON HILL","LIQUOR LAW VIOLATION",7,1,2,2
"JUDKINS PARK/NORTH BEACON HILL","MOTOR VEHICLE THEFT",297,1,2,2
"JUDKINS PARK/NORTH BEACON HILL","NARCOTIC",176,10,9,8
"JUDKINS PARK/NORTH BEACON HILL","PORNOGRAPHY",6,0,0,0
"JUDKINS PARK/NORTH BEACON HILL","PROSTITUTION",49,8,7,7
"JUDKINS PARK/NORTH BEACON HILL","RAPE",15,9,8,9
"JUDKINS PARK/NORTH BEACON HILL","ROBBERY-COMMERCIAL",23,5,5,5
"JUDKINS PARK/NORTH BEACON HILL","ROBBERY-RESIDENTIAL",6,8,7,9
"JUDKINS PARK/NORTH BEACON HILL","ROBBERY-STREET",144,7,7,9
"JUDKINS PARK/NORTH BEACON HILL","SEX OFFENSE-OTHER",70,8,6,6
"JUDKINS PARK/NORTH BEACON HILL","THEFT-ALL OTHER",481,3,2,3
"JUDKINS PARK/NORTH BEACON HILL","THEFT-BICYCLE",63,2,4,2
"JUDKINS PARK/NORTH BEACON HILL","THEFT-BUILDING",193,5,4,5
"JUDKINS PARK/NORTH BEACON HILL","THEFT-SHOPLIFT",101,1,2,1
"JUDKINS PARK/NORTH BEACON HILL","TRESPASS",176,4,2,5
"JUDKINS PARK/NORTH BEACON HILL","WEAPON",53,9,8,9
"LAKECITY","",10,NA,NA,NA
"LAKECITY","AGGRAVATED ASSAULT",392,7,7,8
"LAKECITY","AGGRAVATED ASSAULT-DV",284,5,5,6
"LAKECITY","ARSON",38,8,8,10
"LAKECITY","BURGLARY-COMMERCIAL",771,1,1,3
"LAKECITY","BURGLARY-COMMERCIAL-SECURE PARKING",6,1,1,3
"LAKECITY","BURGLARY-RESIDENTIAL",1762,8,7,4
"LAKECITY","BURGLARY-RESIDENTIAL-SECURE PARKING",228,8,7,4
"LAKECITY","CAR PROWL",2783,5,5,5
"LAKECITY","DISORDERLY CONDUCT",3,3,4,4
"LAKECITY","DUI",311,6,7,5
"LAKECITY","FAMILY OFFENSE-NONVIOLENT",253,3,4,4
"LAKECITY","HOMICIDE",2,10,10,10
"LAKECITY","LIQUOR LAW VIOLATION",51,1,2,2
"LAKECITY","LOITERING",1,0,0,0
"LAKECITY","MOTOR VEHICLE THEFT",1145,1,2,2
"LAKECITY","NARCOTIC",282,10,9,8
"LAKECITY","PORNOGRAPHY",3,0,0,0
"LAKECITY","PROSTITUTION",28,8,7,7
"LAKECITY","RAPE",53,9,8,9
"LAKECITY","ROBBERY-COMMERCIAL",137,5,5,5
"LAKECITY","ROBBERY-RESIDENTIAL",34,8,7,9
"LAKECITY","ROBBERY-STREET",253,7,7,9
"LAKECITY","SEX OFFENSE-OTHER",216,8,6,6
"LAKECITY","THEFT-ALL OTHER",1666,3,2,3
"LAKECITY","THEFT-BICYCLE",213,2,4,2
"LAKECITY","THEFT-BUILDING",531,5,4,5
"LAKECITY","THEFT-SHOPLIFT",1377,1,2,1
"LAKECITY","TRESPASS",604,4,2,5
"LAKECITY","WEAPON",126,9,8,9
"LAKEWOOD/SEWARD PARK","",1,NA,NA,NA
"LAKEWOOD/SEWARD PARK","AGGRAVATED ASSAULT",37,7,7,8
"LAKEWOOD/SEWARD PARK","AGGRAVATED ASSAULT-DV",29,5,5,6
"LAKEWOOD/SEWARD PARK","ARSON",7,8,8,10
"LAKEWOOD/SEWARD PARK","BURGLARY-COMMERCIAL",53,1,1,3
"LAKEWOOD/SEWARD PARK","BURGLARY-RESIDENTIAL",705,8,7,4
"LAKEWOOD/SEWARD PARK","BURGLARY-RESIDENTIAL-SECURE PARKING",4,8,7,4
"LAKEWOOD/SEWARD PARK","CAR PROWL",1639,5,5,5
"LAKEWOOD/SEWARD PARK","DUI",57,6,7,5
"LAKEWOOD/SEWARD PARK","FAMILY OFFENSE-NONVIOLENT",41,3,4,4
"LAKEWOOD/SEWARD PARK","HOMICIDE",1,10,10,10
"LAKEWOOD/SEWARD PARK","LIQUOR LAW VIOLATION",3,1,2,2
"LAKEWOOD/SEWARD PARK","MOTOR VEHICLE THEFT",282,1,2,2
"LAKEWOOD/SEWARD PARK","NARCOTIC",33,10,9,8
"LAKEWOOD/SEWARD PARK","PROSTITUTION",1,8,7,7
"LAKEWOOD/SEWARD PARK","RAPE",14,9,8,9
"LAKEWOOD/SEWARD PARK","ROBBERY-COMMERCIAL",7,5,5,5
"LAKEWOOD/SEWARD PARK","ROBBERY-RESIDENTIAL",8,8,7,9
"LAKEWOOD/SEWARD PARK","ROBBERY-STREET",32,7,7,9
"LAKEWOOD/SEWARD PARK","SEX OFFENSE-OTHER",19,8,6,6
"LAKEWOOD/SEWARD PARK","THEFT-ALL OTHER",277,3,2,3
"LAKEWOOD/SEWARD PARK","THEFT-BICYCLE",30,2,4,2
"LAKEWOOD/SEWARD PARK","THEFT-BUILDING",52,5,4,5
"LAKEWOOD/SEWARD PARK","THEFT-SHOPLIFT",1,1,2,1
"LAKEWOOD/SEWARD PARK","TRESPASS",31,4,2,5
"LAKEWOOD/SEWARD PARK","WEAPON",32,9,8,9
"MADISON PARK","AGGRAVATED ASSAULT",9,7,7,8
"MADISON PARK","AGGRAVATED ASSAULT-DV",14,5,5,6
"MADISON PARK","ARSON",1,8,8,10
"MADISON PARK","BURGLARY-COMMERCIAL",96,1,1,3
"MADISON PARK","BURGLARY-RESIDENTIAL",275,8,7,4
"MADISON PARK","BURGLARY-RESIDENTIAL-SECURE PARKING",16,8,7,4
"MADISON PARK","CAR PROWL",779,5,5,5
"MADISON PARK","DUI",56,6,7,5
"MADISON PARK","FAMILY OFFENSE-NONVIOLENT",9,3,4,4
"MADISON PARK","LIQUOR LAW VIOLATION",6,1,2,2
"MADISON PARK","MOTOR VEHICLE THEFT",136,1,2,2
"MADISON PARK","NARCOTIC",21,10,9,8
"MADISON PARK","RAPE",5,9,8,9
"MADISON PARK","ROBBERY-COMMERCIAL",5,5,5,5
"MADISON PARK","ROBBERY-RESIDENTIAL",3,8,7,9
"MADISON PARK","ROBBERY-STREET",8,7,7,9
"MADISON PARK","SEX OFFENSE-OTHER",17,8,6,6
"MADISON PARK","THEFT-ALL OTHER",198,3,2,3
"MADISON PARK","THEFT-BICYCLE",17,2,4,2
"MADISON PARK","THEFT-BUILDING",48,5,4,5
"MADISON PARK","THEFT-SHOPLIFT",20,1,2,1
"MADISON PARK","TRESPASS",42,4,2,5
